threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR
1,9,43,0.27167,140.013
1,9,44,0.304684,139.664
1,9,45,0.278575,144.18
1,9,46,0.201959,145.112
1,9,47,0.240733,153.925
1,9,48,0.242407,152.029
1,9,49,0.285921,158.402
1,10,1,0.264437,3.46414
1,10,2,0.22424,6.81145
1,10,3,0.230499,10.2175
1,10,4,0.23516,13.4487
1,10,5,0.348814,16.3454
1,10,6,0.280555,19.5082
1,10,7,0.277632,22.9374
1,10,8,0.335532,25.8741
1,10,9,0.261705,29.2218
1,10,10,0.296374,32.429
1,10,11,0.302891,36.0385
1,10,12,0.304073,38.212
1,10,13,0.295623,42.5566
1,10,14,0.303732,44.6929
1,10,15,0.306988,48.5894
1,10,16,0.293668,51.5308
1,10,17,0.308378,54.7853
1,10,18,0.31264,57.591
1,10,19,0.286487,61.5518
1,10,20,0.310554,63.6973
1,10,21,0.293415,68.0514
1,10,22,0.327918,70.3536
1,10,23,0.321763,74.3987
1,10,24,0.310527,76.2424
1,10,25,0.34401,80.4331
1,10,26,0.350107,82.6746
1,10,27,0.328864,87.1769
1,10,28,0.335254,88.9572
1,10,29,0.315782,94.6212
1,10,30,0.293489,96.395
1,10,31,0.262271,100.212
1,10,32,0.20407,101.602
1,10,33,0.358538,106.301
1,10,34,0.352438,107.865
1,10,35,0.329318,112.082
1,10,36,0.254222,114.404
1,10,37,0.308729,118.884
1,10,38,0.30907,121.759
1,10,39,0.332981,125.564
1,10,40,0.296599,126.951
1,10,41,0.279396,131.941
1,10,42,0.283171,132.585
1,10,43,0.345349,138.667
1,10,44,0.284393,139.455
1,10,45,0.196459,143.922
1,10,46,0.306845,146.247
1,10,47,0.2995,151.398
1,10,48,0.282738,151.434
1,10,49,0.264024,156.937
1,11,1,0.291078,3.52867
1,11,2,0.291842,6.75313
1,11,3,0.274494,10.1186
1,11,4,0.343512,13.0982
1,11,5,0.359945,16.6709
1,11,6,0.312914,19.4265
1,11,7,0.335347,22.8799
1,11,8,0.298712,25.6622
1,11,9,0.320871,29.1312
1,11,10,0.298651,32.1325
1,11,11,0.324377,35.8861
1,11,12,0.284192,38.8978
1,11,13,0.295962,41.8762
1,11,14,0.294321,44.5483
1,11,15,0.333328,48.6336
1,11,16,0.312301,51.2601
1,11,17,0.315912,55.0585
1,11,18,0.314896,57.487
1,11,19,0.258747,62.0849
1,11,20,0.297231,64.0015
1,11,21,0.314108,68.7533
1,11,22,0.311145,70.0967
1,11,23,0.321804,74.6329
1,11,24,0.294977,76.6316
1,11,25,0.3452,81.0955
1,11,26,0.274637,82.5642
1,11,27,0.307282,86.7997
1,11,28,0.330158,89.3979
1,11,29,0.302129,93.3884
1,11,30,0.331302,95.5021
1,11,31,0.305892,99.8481
1,11,32,0.299025,102.188
1,11,33,0.274819,106.725
1,11,34,0.305032,108.13
1,11,35,0.327517,112.715
1,11,36,0.307214,114.633
1,11,37,0.313426,118.867
1,11,38,0.320279,121.521
1,11,39,0.331731,125.817
1,11,40,0.309452,127.338
1,11,41,0.316442,131.748
1,11,42,0.32872,133.915
1,11,43,0.306705,137.948
1,11,44,0.314616,142.263
1,11,45,0.308664,145.215
1,11,46,0.316652,145.907
1,11,47,0.313665,150.894
1,11,48,0.272991,153.045
1,11,49,0.303584,156.996
1,12,1,0.308188,3.49493
1,12,2,0.270756,6.83134
1,12,3,0.310068,10.088
1,12,4,0.273126,13.2157
1,12,5,0.298324,16.5668
1,12,6,0.331499,19.75
1,12,7,0.329979,22.7032
1,12,8,0.320171,25.7762
1,12,9,0.352049,29.3881
1,12,10,0.317433,32.0991
1,12,11,0.328766,35.8793
1,12,12,0.337124,38.5286
1,12,13,0.311607,42.4792
1,12,14,0.338955,44.7402
1,12,15,0.337833,48.4803
1,12,16,0.330041,50.9389
1,12,17,0.333001,54.8065
1,12,18,0.32666,57.4106
1,12,19,0.282216,61.5523
1,12,20,0.342158,64.1792
1,12,21,0.317635,67.938
1,12,22,0.22322,70.633
1,12,23,0.30371,74.0751
1,12,24,0.333975,76.4919
1,12,25,0.326529,81.11
1,12,26,0.346246,82.6449
1,12,27,0.328693,87.1607
1,12,28,0.357395,88.7701
1,12,29,0.283565,93.1471
1,12,30,0.33989,95.8001
1,12,31,0.307993,99.8751
1,12,32,0.349901,102.066
1,12,33,0.345163,106.27
1,12,34,0.330888,107.78
1,12,35,0.32875,112.517
1,12,36,0.243304,114.984
1,12,37,0.360296,119.767
1,12,38,0.353935,120.963
1,12,39,0.336295,125.43
1,12,40,0.327345,127.159
